URL,HELP Cat,Include,Header,Depth,Notes
https://mariadb.com/kb/en/information-schema-innodb_ft_default_stopword-table/,TBC,1,,1.1.2.9.1.1.1.13,
https://mariadb.com/kb/en/information-schema-innodb_ft_deleted-table/,TBC,1,,1.1.2.9.1.1.1.14,
https://mariadb.com/kb/en/information-schema-innodb_ft_index_cache-table/,TBC,1,,1.1.2.9.1.1.1.15,
https://mariadb.com/kb/en/information-schema-innodb_ft_index_table-table/,TBC,1,,1.1.2.9.1.1.1.16,
https://mariadb.com/kb/en/information-schema-innodb_lock_waits-table/,TBC,1,,1.1.2.9.1.1.1.17,
https://mariadb.com/kb/en/information-schema-innodb_locks-table/,TBC,1,,1.1.2.9.1.1.1.18,
https://mariadb.com/kb/en/information-schema-innodb_metrics-table/,TBC,1,,1.1.2.9.1.1.1.19,
https://mariadb.com/kb/en/information-schema-innodb_mutexes-table/,TBC,1,,1.1.2.9.1.1.1.20,
https://mariadb.com/kb/en/information-schema-innodb_sys_columns-table/,TBC,1,,1.1.2.9.1.1.1.21,
https://mariadb.com/kb/en/information-schema-innodb_sys_datafiles-table/,TBC,1,,1.1.2.9.1.1.1.22,
https://mariadb.com/kb/en/information-schema-innodb_sys_fields-table/,TBC,1,,1.1.2.9.1.1.1.23,
https://mariadb.com/kb/en/information-schema-innodb_sys_foreign-table/,TBC,1,,1.1.2.9.1.1.1.24,
https://mariadb.com/kb/en/information-schema-innodb_sys_foreign_cols-table/,TBC,1,,1.1.2.9.1.1.1.25,
https://mariadb.com/kb/en/information-schema-innodb_sys_indexes-table/,TBC,1,,1.1.2.9.1.1.1.26,
https://mariadb.com/kb/en/information-schema-innodb_sys_semaphore_waits-table/,TBC,1,,1.1.2.9.1.1.1.27,
https://mariadb.com/kb/en/information-schema-innodb_sys_tables-table/,TBC,1,,1.1.2.9.1.1.1.28,
https://mariadb.com/kb/en/information-schema-innodb_sys_tablespaces-table/,TBC,1,,1.1.2.9.1.1.1.29,
https://mariadb.com/kb/en/information-schema-innodb_sys_tablestats-table/,TBC,1,,1.1.2.9.1.1.1.30,
https://mariadb.com/kb/en/information-schema-innodb_sys_virtual-table/,TBC,1,,1.1.2.9.1.1.1.31,
https://mariadb.com/kb/en/information-schema-innodb_tablespaces_encryption-table/,TBC,1,,1.1.2.9.1.1.1.32,
https://mariadb.com/kb/en/information-schema-innodb_tablespaces_scrubbing-table/,TBC,1,,1.1.2.9.1.1.1.33,
https://mariadb.com/kb/en/information-schema-innodb_trx-table/,TBC,1,,1.1.2.9.1.1.1.34,
https://mariadb.com/kb/en/information-schema-temp_tables_info-table/,TBC,1,,1.1.2.9.1.1.1.35,
https://mariadb.com/kb/en/information-schema-myrocks-tables/,,1,Information Schema MyRocks Tables,1.1.2.9.1.1.2,Category
